기업명,연도,predicted_top30,predicted_probability,y,일치여부
피에스케이홀딩스(주),2023,1,0.4478880338697696,1.0,1
하나레이저테크(주),2023,0,0.1455578858382314,0.0,1
하비스트,2023,0,0.1983684771915551,0.0,1
한국티엠,2023,0,0.1183930301714926,0.0,1
화성산업,2023,0,0.1519333484187013,0.0,1
(주) 코미코,2023,0,0.2092948786690713,1.0,0
(주) 포톤,2023,0,0.1850650809895577,0.0,1
(주)경인양행,2023,0,0.1784414283526346,0.0,1
(주)네패스,2023,0,0.1806966858774078,0.0,1
(주)넥스틴,2023,0,0.3139545118269964,1.0,0
(주)뉴파워프라즈마,2023,0,0.3238395927439058,1.0,0
(주)동진쎄미켐,2023,0,0.298868258554141,0.0,1
(주)라온텍,2023,0,0.2927718104171318,0.0,1
(주)루켄테크놀러지스,2023,0,0.3279269508209317,0.0,1
(주)비츠로셀,2023,0,0.3464680188445262,0.0,1
(주)상아프론테크,2023,0,0.1700465843561403,0.0,1
(주)선익시스템,2023,0,0.2251968862418739,1.0,0
(주)세코닉스,2023,0,0.1974441548544017,0.0,1
(주)싸이맥스,2023,0,0.3841935797268715,0.0,1
(주)쏘닉스,2023,0,0.3303183727895999,1.0,0
(주)아이컴포넌트,2023,0,0.3598913963177432,1.0,0
(주)에스앤에스텍,2023,1,0.4786791331117611,0.0,0
(주)에스엠랩,2023,1,0.631968448025866,1.0,1
(주)에스피반도체통신,2023,0,0.1402550592406529,0.0,1
(주)에코앤드림,2023,1,0.450739464138513,1.0,1
(주)에프에스티,2023,0,0.3150576947364577,1.0,0
(주)엑시콘,2023,0,0.1848480166121131,0.0,1
주식회사 디바이스,2023,1,0.4881979943322488,0.0,0
(주)엔켐,2023,1,0.4969141717799314,0.0,0
(주)엘앤에프,2023,1,0.4866245978067157,0.0,0
(주)엘에이티,2023,0,0.2673491291699523,1.0,0
(주)원익피앤이,2023,0,0.1694384458467779,0.0,1
(주)위지트,2023,0,0.2925179542192238,1.0,0
(주)유진테크,2023,0,0.2810324774668006,1.0,0
(주)이엔에프테크놀로지,2023,0,0.3506075270120508,0.0,1
(주)이엠앤아이,2023,0,0.1696106464124636,1.0,0
(주)제우스,2023,0,0.1952066495531699,1.0,0
(주)지앤비에스 에코,2023,0,0.3868924490255525,0.0,1
(주)케이엔제이,2023,0,0.3693987346816558,1.0,0
(주)큐에스아이,2023,0,0.3615119855575526,0.0,1
(주)큐엠씨,2023,0,0.2723746140289199,0.0,1
(주)텔레칩스,2023,0,0.186650044647224,0.0,1
(주)프로텍,2023,0,0.3471288206226239,0.0,1
(주)필옵틱스,2023,0,0.2883277053623199,1.0,0
기가비스주식회사,2023,0,0.1788212496483741,0.0,1
나래나노텍,2023,1,0.7388765594213884,0.0,0
대주전자재료(주),2023,0,0.243228493139254,0.0,1
더블유씨피 주식회사,2023,1,0.4635556796694866,0.0,0
램테크놀러지㈜,2023,0,0.364556100348624,0.0,1
레이저쎌주식회사,2023,1,0.5089519992552105,0.0,0
비나텍(주),2023,0,0.2357542377404849,0.0,1
비씨엔씨(주),2023,0,0.2718499914158124,0.0,1
서울바이오시스 주식회사,2023,0,0.3204513868275808,1.0,0
시지트로닉스,2023,0,0.274839119715628,0.0,1
신비앤텍 주식회사,2023,0,0.3930927738175645,0.0,1
신화인터텍(주),2023,0,0.315787409672526,1.0,0
쓰리에이로직스(주),2023,1,0.7668929173687287,1.0,1
아이에스티이,2023,1,0.4919198767406911,1.0,1
에프엔에스테크주식회사,2023,1,0.4271274179585239,1.0,1
엔젯주식회사,2023,0,0.2775369069709215,0.0,1
와이씨켐㈜,2023,0,0.3198627673495259,0.0,1
워트주식회사,2023,1,0.5926302970146148,0.0,0
원시스템,2023,0,0.2205762593725518,0.0,1
율촌화학(주),2023,1,0.4910278934082067,0.0,0
저스템,2023,1,0.4242420995138946,0.0,0
제닉스로보틱스 주식회사,2023,0,0.2423106166154719,0.0,1
㈜나노신소재,2023,1,0.4236231210383894,0.0,0
㈜디엔에프,2023,1,0.4016777501877569,0.0,0
주성엔지니어링(주),2023,0,0.3389467501142678,1.0,0
주식회사 더코디,2023,1,0.5682393513682674,1.0,1
주식회사 메카로,2023,1,0.5593188496677818,1.0,1
주식회사 브이원텍,2023,0,0.3198270477799602,0.0,1
주식회사 에이치브이엠,2023,0,0.3866151719286236,0.0,1
주식회사 에코프로비엠,2023,1,0.4679223053508968,0.0,0
주식회사 한솔케미칼,2023,0,0.3229197592597326,0.0,1
주식회사 한울반도체,2023,0,0.2139360524964625,0.0,1
주식회사유우일렉트로닉스,2023,0,0.2703979782051033,1.0,0
㈜아이윈,2023,0,0.1545313547570524,0.0,1
㈜야스,2023,0,0.2502930408102573,0.0,1
㈜오로스테크놀로지,2023,0,0.1768504342968595,1.0,0
㈜오이솔루션,2023,1,0.684135231116142,0.0,0
㈜웨이비스,2023,0,0.1764152691069657,1.0,0
㈜자람테크놀로지,2023,0,0.334244892019627,1.0,0
㈜파크시스템스,2023,0,0.2179289693461529,1.0,0
㈜피엠티,2023,1,0.5784125063799429,0.0,0
코스텍시스템(주),2023,0,0.2506382794367653,0.0,1
티이엠씨주식회사,2023,1,0.4702137346025921,1.0,1
팸텍주식회사,2023,0,0.1798695155436634,0.0,1
풍원정밀(주),2023,0,0.1237591667191546,0.0,1
피에스케이 주식회사,2023,1,0.4290959660230186,0.0,0
하나머티리얼즈(주),2023,0,0.3819249902695781,0.0,1
한미반도체(주),2023,1,0.5325220215603075,1.0,1
