기업명,dart_corp_code,crno,연도,설립일,업종코드,주소,연구개발비,유형자산_당기,유형자산_전기,종업원_합계,정규직_수,계약직_수,자산,부채,자본,CAPEX,매출액,영업이익,당기순이익
(주)제우스,00442570,1101110338792.0,2019,19881212,29271,,0,,,597,594,3,381353567601,152527083397,228826484204,12773630775,323487856346,18187672794,14176254119
(주)제이디아이,01953231,1101112402652.0,2019,20240418,68112,,0,,,0,0,0,,,,,,,
(주)제이솔루션,01401385,1101112324468.0,2019,20090804,29271,,0,,,0,0,0,,,,,,,
(주)제이에스티,01372995,1101110569074.0,2019,20090105,29271,,0,,,0,0,0,,,,,,,
(주)제이오션,01304143,1101114595900.0,2019,20171017,68121,,0,,,0,0,0,,,,,,,
(주)제이이티,01823329,1101111817654.0,2019,20150827,71511,,0,,,0,0,0,,,,,,,
(주)제이지,00679721,1101111272634.0,2019,20080520,64999,,0,,,0,0,0,,,,,,,
(주)제일하이텍,01213160,1246110289014.0,2019,20020611,20202,,0,,,0,0,0,,,,,,,
(주)준테크,01142978,1101111693814.0,2019,20071119,29172,,0,,,0,0,0,,,,,,,
(주)지앤비에스 에코,00958327,1348110105579.0,2019,20050404,29271,,0,,,0,0,0,,,,,,,
(주)지에스엠,01060887,1101110734651.0,2019,20080305,07121,,0,,,0,0,0,,,,,,,
(주)진솔루션,01837100,1101111196496.0,2019,20090811,29271,,0,,,0,0,0,,,,,,,
(주)케이엔제이,00769158,1101110883713.0,2019,20050428,261,,0,,,142,142,0,58574247889,31753726776,26820521113,4243297443,,3830703656,4441816860
(주)케이제이,01147308,1101110561773.0,2019,20150415,68122,,0,,,0,0,0,,,,,,,
(주)코스텍시스,00332839,1101111361859.0,2019,19970108,2612,,0,,,0,0,0,,,,,,,
(주)코윈디에스티,00815934,1201110382531.0,2019,20050830,29272,,0,,,0,0,0,,,,,,,
(주)큐에스아이,00411446,1101116641149.0,2019,20000707,2612,,0,,,123,123,0,58462416960,3970668204,54491748756,2041776615,22679508894,416541154,1104174238
(주)큐엠씨,00816696,1101110953582.0,2019,20030729,2927,,0,,,93,93,0,,,,,,,
(주)탑텍,01152319,1101111540750.0,2019,20000309,25112,,0,,,0,0,0,,,,,,,
(주)태산에프에이,01371190,1355110258745.0,2019,20131128,29272,,0,,,0,0,0,,,,,,,
(주)테스,00837477,1101110542004.0,2019,19980409,4643,,0,,,0,0,0,,,,,,,
(주)텔레칩스,00423177,1101111799513.0,2019,19991029,2611,,0,20800881686,18522767987,321,321,0,155740434450,52766470689,102973963761,2278113699,132195565345,7646361964,8315944072
(주)토르,01913057,1101111206584.0,2019,20031126,29171,,0,,,0,0,0,,,,,,,
(주)토마스엔지니어링,01303621,1501110031728.0,2019,19980501,28,,0,,,0,0,0,,,,,,,
(주)트리엔,01679931,1101111740368.0,2019,20030307,29272,,0,,,0,0,0,,,,,,,
(주)티에스,01154575,1101110118459.0,2019,20040401,30121,,0,,,0,0,0,,,,,,,
(주)티에스시,01560396,1101111577810.0,2019,20120614,29271,,0,,,0,0,0,,,,,,,
(주)티에스코퍼레이션,01755444,1101111896335.0,2019,20130313,29271,,0,,,0,0,0,,,,,,,
(주)티엠씨,01452219,1101111247356.0,2019,20070727,72129,,0,,,0,0,0,,,,,,,
(주)티오피,00348858,1101110613144.0,2019,20000502,27,,0,,,0,0,0,,,,,,,
(주)티제이엠,01789034,1101111658959.0,2019,20220525,71531,,0,,,0,0,0,,,,,,,
(주)티티에스,01005507,1101111222043.0,2019,20010420,291,,0,,,0,0,0,,,,,,,
(주)파크시스템,01657054,1101111397648.0,2019,20000516,29271,,0,,,0,0,0,,,,,,,
(주)풍산디에이케이,01497887,1311110300895.0,2019,20120102,28202,,0,,,0,0,0,,,,,,,
(주)풍산시스템,01014082,1301110059154.0,2019,20000401,30,,0,,,0,0,0,,,,,,,
(주)프로텍,00325112,1101110589311.0,2019,19970901,29271,,0,,,284,274,10,232522656200,24931538205,207591117995,2152564281,179775053145,46006680376,37400833784
(주)플라스텍,01766246,1101112587751.0,2019,20020813,46800,,0,,,0,0,0,,,,,,,
(주)피앤엠,01384918,1101112347048.0,2019,20081112,29120,,0,,,0,0,0,,,,,,,
(주)피엔피,01012853,1101110363575.0,2019,20120727,29271,,0,,,0,0,0,,,,,,,
(주)피제이피테크,01369487,1358110106625.0,2019,20040727,261,,0,,,0,0,0,,,,,,,
(주)피토,00976101,1101112028656.0,2019,20031202,29271,,0,,,0,0,0,,,,,,,
(주)필옵틱스,00938721,1351110088083.0,2019,20080205,2927,,0,,,413,411,2,191044737988,132795981004,58248756984,11735876052,140395326738,-14922776539,-16001293836
(주)하이원텍,01287970,1314110250888.0,2019,20111021,34019,,0,,,0,0,0,,,,,,,
(주)한도금속,01383991,1355110200100.0,2019,20090422,25924,,0,,,0,0,0,,,,,,,
(주)한올테크,00382597,1101110993405.0,2019,19931230,58221,,0,,,0,0,0,,,,,,,
(주)한일하이테크,00909455,1101110695382.0,2019,19980924,2224,,0,,,0,0,0,,,,,,,
